URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_22.24.45,1.6659,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_22.24.48,1.6295,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_22.24.51,1.7447,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_22.24.54,1.9158,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_22.24.57,2.5659,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_22.25.00,2.3993,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_22.25.04,3.2573,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_22.25.08,3.4188,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_22.25.13,1.6793,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_22.25.15,1.7807,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_22.25.18,2.1640,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_22.25.21,3.1634,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_22.25.26,4.9178,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_22.25.32,4.5243,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_22.25.37,8.4363,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_22.25.47,9.8675,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_22.25.58,8.7958,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_22.26.07,8.5785,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_22.26.17,8.4591,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_22.26.27,8.5543,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_22.26.36,9.9879,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_22.26.47,9.6735,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_22.26.58,12.0220,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_22.27.11,11.8813,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_22.27.24,6.4719,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_22.27.32,6.6298,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_22.27.39,7.0333,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_22.27.47,7.6179,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_22.27.56,10.2200,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_22.28.07,10.0708,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_22.28.19,15.0623,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_22.28.35,16.5096,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_22.28.52,4.6395,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_22.28.58,4.4260,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_22.29.03,4.6498,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_22.29.09,4.6736,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_22.29.17,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_22.29.18,8.2846,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_22.29.28,8.2695,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_22.29.37,9.1320,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_22.29.47,8.0352,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_22.29.56,0.7508,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_22.29.59,1.8766,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_22.30.07,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_22.30.17,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_22.30.26,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_22.30.36,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_22.30.45,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_22.30.48,1.5602,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_22.30.50,1.5722,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_22.30.51,1.5536,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_22.30.53,1.4336,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_22.30.54,1.4596,
